Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Dinopium benghalense,175801911,56.38,241.847,87.367,26.6,8.8,6.2,5.68,5.94,2.77,3.02,-0.08
Dinopium benghalense,260637041,47.17,182,65.97,26.6,8.8,6.89,6.29,6.59,2.76,3.02,-0.09
Dinopium benghalense,135725851,57.01,233.25,79.31,26.6,8.8,6.5,6.33,6.41,2.94,3.02,-0.03
Dinopium benghalense,626691845,36.31,155.326,50.329,26.6,8.8,6.22,6.35,6.28,3.09,3.02,0.02
Dinopium benghalense,144002951,56.11,247.477,76.531,26.6,8.8,6.03,6.45,6.24,3.23,3.02,0.07
Dinopium benghalense,558112801,40.18,181.648,61.587,26.6,8.8,5.88,5.74,5.81,2.95,3.02,-0.02
Dinopium benghalense,170833011,39.81,192.38,68.884,26.6,8.8,5.5,5.09,5.29,2.79,3.02,-0.08
Dinopium benghalense,495145261,54.09,234.438,72.007,26.6,8.8,6.14,6.61,6.37,3.26,3.02,0.08
Dinopium benghalense,143853031,38.22,186.891,60.565,26.6,8.8,5.44,5.55,5.5,3.09,3.02,0.02
Dinopium benghalense,610992404,48.09,222.524,73.926,26.6,8.8,5.75,5.72,5.74,3.01,3.02,0
Dinopium benghalense,633584439,39.63,193.371,61.294,26.6,8.8,5.45,5.69,5.57,3.15,3.02,0.04
Cyornis rubeculoides,486363611,95.56,164.181,72.443,8.4,3.6,4.89,4.75,4.82,2.27,2.33,-0.03
Cyornis rubeculoides,512445881,100.81,173.056,74.035,8.4,3.6,4.89,4.9,4.9,2.34,2.33,0
Cyornis rubeculoides,459472851,105.51,166.407,79.953,8.4,3.6,5.33,4.75,5.04,2.08,2.33,-0.11
Cyornis rubeculoides,446572841,112.59,210.189,91.731,8.4,3.6,4.5,4.42,4.46,2.29,2.33,-0.02
Cyornis rubeculoides,468306351,92.01,137.545,66.502,8.4,3.6,5.62,4.98,5.3,2.07,2.33,-0.11
Cyornis rubeculoides,587126681,102.04,171.493,76.4,8.4,3.6,5,4.81,4.9,2.24,2.33,-0.04
