"","species_jetz","res.td","res.ad","td","ad","mass_final","hab.bin","for.bin","stratum","feed.PC1","feed.PC2","feed.PC3","feed.PC4","mig.bin","lat","range"
"Thamnistes_anabatinus","Thamnistes anabatinus",0.10435813712907,0.179121782363356,8.8,7.4,19.8,1,0,80,-35.766752709543,3.74784855250423,-4.35040497781921,-4.04705852145714,0,4.45,4.81218435537242
"Thamnomanes_caesius","Thamnomanes caesius",0.119037447694813,0.215581121143198,9.3,8,23.6,1,1,90,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,4.2,6.3491389913798
"Thamnomanes_schistogynus","Thamnomanes schistogynus",0.0730330982120995,0.132663579733916,8.925,7.4,24.1,1,1,80,-39.0849397552968,-3.00317849695955,0.1649147966924,7.04305419487738,0,9.06,4.82028156560504
"Thamnophilus_aethiops","Thamnophilus aethiops",0.258106791971255,0.327435409154497,11.1,9.3,27.8,1,0,40,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,5.69,6.14203740558736
"Thamnophilus_caerulescens","Thamnophilus caerulescens",0.217627218415588,0.24276250043963,9.75,7.8,18.9,1,0,40,-23.2862104091795,-2.83306168264688,-5.30630537948121,-3.92999810873767,0,21.03,6.0282785202307
"Thamnophilus_doliatus","Thamnophilus doliatus",0.118660235708319,0.191565259667426,9.75,8.2,29,0,0,40,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,5.15,6.93731408122368
"Thamnophilus_nigriceps","Thamnophilus nigriceps",0.207287543575042,0.294645586331506,10.55,9,27.8,1,0,20,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,7.86,3.36729582998647
"Thamnophilus_nigrocinereus","Thamnophilus nigrocinereus",0.234450786236139,0.370381068354258,11.05,9.9,30.2,0,0,30,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,1.73,5.39816270151775
"Thamnophilus_palliatus","Thamnophilus palliatus",0.192638033082566,0.258726959449671,10.3,8.6,26.7,1,0,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,9.8,5.64897423816121
"Thamnophilus_punctatus","Thamnophilus punctatus",0.265618817411599,0.308835145120515,10.55,8.6,21.6,1,0,80,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,5.57,5.14166355650266
"Thamnophilus_ruficapillus","Thamnophilus ruficapillus",0.217077870828907,0.179121782363356,9.85,7.4,19.8,0,0,80,-35.766752709543,3.74784855250423,-4.35040497781921,-4.04705852145714,0,24.46,5.22035582507832
"Thamnornis_chloropetoides","Thamnornis chloropetoides",0.0782896314155153,0.216558376819271,7.5,6.7,11.1,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,23.92,2.19722457733622
"Thescelocichla_leucopleura","Thescelocichla leucopleura",0.135429963738388,0.192154478556287,11.325,9.4,51.55,1,0,50,48.824606912087,13.9439746336964,-16.1935681042585,-3.77805270840514,0,2.04,5.74300318780948
"Thlypopsis_ruficeps","Thlypopsis ruficeps",0.108737162301704,0.169534258422827,8.45,7,16.3,1,0,40,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,18.11,3.85014760171006
"Thlypopsis_sordida","Thlypopsis sordida",0.0423857905726317,0.0611565891805079,8.3,6.6,20.1,1,0,100,12.7691982514537,5.55545647552475,-10.7499367418698,-3.8540254085714,0,12.43,6.52502965784346
"Thraupis_abbas","Thraupis abbas",0.0814653085106731,0.190721064037984,9.85,8.6,35.6,1,0,90,11.3829800109966,33.6867053391497,-13.3258668992725,-4.12923394656355,0,16.87,4.35670882668959
"Thraupis_episcopus","Thraupis episcopus",0.0732876015713262,0.136327957857795,9.6,8,33,0,0,90,23.8635223113601,27.1057951039986,-14.2817673009345,-4.01217353384408,0,0.51,6.60934924316738
"Thraupis_palmarum","Thraupis palmarum",0.0798603166873018,0.0759009775673687,9.75,7.6,34.3,0,0,100,57.6831178606079,29.4206712260169,-7.15975243142175,-4.40153728134536,1,6.45,6.98100574072173
"Thraupis_sayaca","Thraupis sayaca",0.0766182412879233,0.152396608616594,9.25,7.8,27.7,0,0,90,61.3051492124504,7.36306439854527,-17.1494685059205,-3.66099229568567,1,18.26,6.36647044773144
"Thripias_pyrrhogaster","Thripias pyrrhogaster",0.0882078621084341,0.129743085523102,11.2833333333333,9.23333333333333,62.2333333333333,1,0,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,6.82,4.71849887129509
"Thryothorus_coraya","Thryothorus coraya",0.0129552820371077,0.149346983769221,8.05,7.2,20,1,0,20,-22.593101288951,-16.8986861144594,-4.01834030077991,-3.79239383974159,0,0.74,5.89989735358249
"Thryothorus_fasciatoventris","Thryothorus fasciatoventris",0.0401227517774276,0.0789443385496036,8.5,6.9,22.5,0,0,30,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,7.79,3.71357206670431
"Thryothorus_guarayanus","Thryothorus guarayanus",0.0457319317699785,0.100610568894883,8.25,6.8,19.3,1,0,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,15.4,4.24849524204936
"Thryothorus_leucotis","Thryothorus leucotis",0.0495591209857942,0.144947290015399,8.5,7.3,21.6,1,0,20,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,4.02,6.64768837356333
