Species,Photo_ML _ID,Eye_Measurement _pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Culicicapa ceylonensis,526322691,37.77,48.185,20.224,5.9,2.5,4.62,4.67,4.65,2.38,2.36,0.01
Culicicapa ceylonensis,445979481,60.19,80.225,32.035,5.9,2.5,4.43,4.7,4.56,2.5,2.36,0.06
Culicicapa ceylonensis,631566789,62.06,77.405,38.68,5.9,2.5,4.73,4.01,4.37,2,2.36,-0.15
Culicicapa ceylonensis,579896581,24.81,33.593,20.014,5.9,2.5,4.36,3.1,3.73,1.68,2.36,-0.29
Centropus sinensis,475058541,65.05,173.954,126.151,29.3,16.3,10.96,8.4,9.68,1.38,1.8,-0.23
Centropus sinensis,175215891,72.94,212.313,149.003,29.3,16.3,10.07,7.98,9.02,1.42,1.8,-0.21
Centropus sinensis,437563471,67.89,132.966,182.631,29.3,16.3,14.96,6.06,10.51,0.73,1.8,-0.59
Centropus sinensis,204585241,84.39,198.927,137.091,29.3,16.3,12.43,10.03,11.23,1.45,1.8,-0.19
Centropus sinensis,160965781,65.51,182.148,116.017,29.3,16.3,10.54,9.2,9.87,1.57,1.8,-0.13
Centropus sinensis,91073421,42.71,117.123,81.198,29.3,16.3,10.68,8.57,9.63,1.44,1.8,-0.2
Centropus sinensis,205685041,87.3,229.166,153.834,29.3,16.3,11.16,9.25,10.21,1.49,1.8,-0.17
Centropus sinensis,463909891,86.98,230.135,150.333,29.3,16.3,11.07,9.43,10.25,1.53,1.8,-0.15
Centropus sinensis,629998198,49.39,145.331,93.648,29.3,16.3,9.96,8.6,9.28,1.55,1.8,-0.14
Centropus sinensis,564431651,41.33,109.401,68.082,29.3,16.3,11.07,9.89,10.48,1.61,1.8,-0.11
Centropus sinensis,620696798,31.34,89.421,56.337,29.3,16.3,10.27,9.07,9.67,1.59,1.8,-0.12
Centropus sinensis,268677051,45.22,112.712,81.389,29.3,16.3,11.76,9.06,10.41,1.38,1.8,-0.23
Centropus sinensis,228175841,37.69,92.982,64.003,29.3,16.3,11.88,9.6,10.74,1.45,1.8,-0.19
Centropus sinensis,585541271,22.63,64.829,48.06,29.3,16.3,10.23,7.68,8.95,1.35,1.8,-0.25
Centropus sinensis,626897812,55.01,148.277,100.319,29.3,16.3,10.87,8.94,9.9,1.48,1.8,-0.18
Centropus sinensis,624159093,50.57,144.641,84.404,29.3,16.3,10.24,9.77,10,1.71,1.8,-0.05
Centropus sinensis,619214353,55.04,133.314,85.594,29.3,16.3,12.1,10.48,11.29,1.56,1.8,-0.13
Centropus sinensis,616358225,56.65,170.176,101.115,29.3,16.3,9.75,9.13,9.44,1.68,1.8,-0.06
Centropus sinensis,430986031,132.83,365.034,258.66,29.3,16.3,10.66,8.37,9.52,1.41,1.8,-0.21
Centropus sinensis,245368981,41.87,110.866,70.459,29.3,16.3,11.07,9.69,10.38,1.57,1.8,-0.12
Centropus sinensis,212394911,83.3,300.566,192.01,29.3,16.3,8.12,7.07,7.6,1.57,1.8,-0.13
Centropus sinensis,626903991,43.58,118.559,83.6,29.3,16.3,10.77,8.5,9.63,1.42,1.8,-0.21
Centropus sinensis,624024424,39.93,105.923,66.196,29.3,16.3,11.04,9.83,10.44,1.6,1.8,-0.11
Centropus sinensis,619882150,66.43,141.716,109.836,29.3,16.3,13.73,9.86,11.8,1.29,1.8,-0.28
Centropus sinensis,527254031,44.61,147.105,91.444,29.3,16.3,8.88,7.95,8.42,1.61,1.8,-0.11
Centropus sinensis,625571026,56.01,134.001,88.2,29.3,16.3,12.25,10.35,11.3,1.52,1.8,-0.15
Centropus sinensis,205663701,44.34,112.294,84.593,29.3,16.3,11.57,8.54,10.06,1.33,1.8,-0.26
